Double Precision: Infinite Series summation of 1/n
Iteration	Residual	sum
    10000000	5.989706e-09	16.695311365857272
    20000000	2.875471e-09	17.388458521417103
    30000000	1.873299e-09	17.793923621189702
    40000000	1.382621e-09	18.081605689478064
    50000000	1.092613e-09	18.304749238293297
    60000000	9.015310e-10	18.487070793419665
    70000000	7.663508e-10	18.641221472056291
    80000000	6.657877e-10	18.774752863787992
    90000000	5.881217e-10	18.892535898749976
   100000000	5.263741e-10	18.997896413852555
   110000000	4.761332e-10	19.093206593203387
   120000000	4.344754e-10	19.180217969815093
   130000000	3.993875e-10	19.260260677168006
   140000000	3.694383e-10	19.334368649047207
   150000000	3.435831e-10	19.403361520295853
   160000000	3.210413e-10	19.467900041224954
   170000000	3.012185e-10	19.528524662857759
   180000000	2.836539e-10	19.585683076534814
   190000000	2.679850e-10	19.639750297659056
   200000000	2.539225e-10	19.691043591914379
   210000000	2.412333e-10	19.739833755964845
   220000000	2.297267e-10	19.786353771491651
   230000000	2.192461e-10	19.830805533963865
   240000000	2.096609e-10	19.873365148292368
   250000000	2.008618e-10	19.914187142729105
   260000000	1.927567e-10	19.953407855805306
   270000000	1.852672e-10	19.991148183716675
   280000000	1.783261e-10	20.027515827821663
   290000000	1.718758e-10	20.062607147571523
   300000000	1.658663e-10	20.096508699189641
   310000000	1.602543e-10	20.129298521959207
   320000000	1.550019e-10	20.161047220223125
   330000000	1.500758e-10	20.191818878842568
   340000000	1.454468e-10	20.221671841947316
   350000000	1.410889e-10	20.250659378778519
   360000000	1.369792e-10	20.278830255705426
   370000000	1.330972e-10	20.306229229855987
   380000000	1.294247e-10	20.332897476902893
   390000000	1.259452e-10	20.358872963272347
   400000000	1.226441e-10	20.384190771224620
   410000000	1.195080e-10	20.408883383784516
   420000000	1.165250e-10	20.432980935334793
   430000000	1.136842e-10	20.456511432716962
   440000000	1.109757e-10	20.479500950915227
   450000000	1.083906e-10	20.501973806742072
   460000000	1.059208e-10	20.523952713436589
   470000000	1.035586e-10	20.545458918634498
   480000000	1.012974e-10	20.566512327810383
   490000000	9.913068e-11	20.587131614991840
   500000000	9.705282e-11	20.607334322288843
   510000000	9.505848e-11	20.627136949565642
   520000000	9.314275e-11	20.646555035403725
   530000000	9.130111e-11	20.665603230356169
   540000000	8.952937e-11	20.684295363350934
   550000000	8.782365e-11	20.702644502002482
   560000000	8.618036e-11	20.720663007488600
   570000000	8.459617e-11	20.738362584572563
   580000000	8.306795e-11	20.755754327269418
   590000000	8.159282e-11	20.772848760613932
   600000000	8.016807e-11	20.789655878915976
   610000000	7.879120e-11	20.806185180853770
   620000000	7.745984e-11	20.822445701711970
   630000000	7.617178e-11	20.838446043045806
   640000000	7.492498e-11	20.854194400001532
   650000000	7.371748e-11	20.869698586525544
   660000000	7.254747e-11	20.884966058644356
   670000000	7.141326e-11	20.900003935997383
   680000000	7.031322e-11	20.914819021771596
   690000000	6.924585e-11	20.929417821182302
   700000000	6.820973e-11	20.943806558623823
   710000000	6.720352e-11	20.957991193606070
   720000000	6.622594e-11	20.971977435571400
   730000000	6.527580e-11	20.985770757693540
   740000000	6.435198e-11	20.999376409740524
   750000000	6.345339e-11	21.012799430063282
   760000000	6.257903e-11	21.026044656804693
   770000000	6.172794e-11	21.039116738363351
   780000000	6.089920e-11	21.052020143191385
   790000000	6.009197e-11	21.064759168961000
   800000000	5.930540e-11	21.077337951159535
   810000000	5.853874e-11	21.089760471149969
   820000000	5.779122e-11	21.102030563734338
   830000000	5.706217e-11	21.114151924260103
   840000000	5.635089e-11	21.126128115298975
   850000000	5.565676e-11	21.137962572938708
   860000000	5.497917e-11	21.149658612696143
   870000000	5.431754e-11	21.161219435090526
   880000000	5.367130e-11	21.172648130906747
   890000000	5.303995e-11	21.183947686154301
   900000000	5.242297e-11	21.195120986746129
   910000000	5.181987e-11	21.206170822926879
   920000000	5.123021e-11	21.217099893452978
   930000000	5.065354e-11	21.227910809551656
   940000000	5.008944e-11	21.238606098663592
   950000000	4.953750e-11	21.249188207988428
   960000000	4.899734e-11	21.259659507849136
   970000000	4.846858e-11	21.270022294880160
   980000000	4.795088e-11	21.280278795041990
   990000000	4.744390e-11	21.290431166500266
  1000000000	4.694730e-11	21.300481501348550
Total time 1/n = 2.392191 seconds
