Double Precision: Infinite Series summation of 1/n^2
Iteration	Residual	sum
    740000	1.110167e-12	1.644932715497830
    750000	1.080760e-12	1.644932733515824
    760000	1.052506e-12	1.644932751059660
    770000	1.025346e-12	1.644932768147812
    780000	9.992235e-13	1.644932784797806
    790000	9.740868e-13	1.644932801026284
    800000	9.498868e-13	1.644932816849048
    810000	9.265776e-13	1.644932832281128
    820000	9.041159e-13	1.644932847336815
    830000	8.824612e-13	1.644932862029717
    840000	8.615753e-13	1.644932876372788
    850000	8.414222e-13	1.644932890378374
    860000	8.219680e-13	1.644932904058247
    870000	8.031808e-13	1.644932917423642
    880000	7.850304e-13	1.644932930485280
    890000	7.674883e-13	1.644932943253395
    900000	7.505278e-13	1.644932955737774
    910000	7.341233e-13	1.644932967947775
    920000	7.182508e-13	1.644932979892337
    930000	7.028876e-13	1.644932991580029
    940000	6.880121e-13	1.644933003019046
    950000	6.736039e-13	1.644933014217243
    960000	6.596435e-13	1.644933025182145
    970000	6.461127e-13	1.644933035920967
    980000	6.329940e-13	1.644933046440627
    990000	6.202709e-13	1.644933056747768
   1000000	6.079275e-13	1.644933066848770
   1010000	5.959489e-13	1.644933076749749
   1020000	5.843209e-13	1.644933086456593
   1030000	5.730299e-13	1.644933095974953
   1040000	5.620631e-13	1.644933105310269
   1050000	5.514081e-13	1.644933114467769
   1060000	5.410533e-13	1.644933123452486
   1070000	5.309874e-13	1.644933132269267
   1080000	5.211998e-13	1.644933140922770
   1090000	5.116804e-13	1.644933149417498
   1100000	5.024194e-13	1.644933157757771
   1110000	4.934075e-13	1.644933165947774
   1120000	4.846360e-13	1.644933173991524
   1130000	4.760963e-13	1.644933181892907
   1140000	4.677804e-13	1.644933189655672
   1150000	4.596805e-13	1.644933197283431
   1160000	4.517891e-13	1.644933204779673
   1170000	4.440992e-13	1.644933212147778
   1180000	4.366040e-13	1.644933219391003
   1190000	4.292970e-13	1.644933226512488
   1200000	4.221718e-13	1.644933233515286
   1210000	4.152226e-13	1.644933240402327
   1220000	4.084436e-13	1.644933247176473
   1230000	4.018292e-13	1.644933253840468
   1240000	3.953742e-13	1.644933260396980
   1250000	3.890735e-13	1.644933266848590
   1260000	3.829223e-13	1.644933273197790
   1270000	3.769157e-13	1.644933279447004
   1280000	3.710494e-13	1.644933285598573
   1290000	3.653190e-13	1.644933291654771
   1300000	3.597203e-13	1.644933297617794
   1310000	3.542494e-13	1.644933303489782
   1320000	3.489023e-13	1.644933309272799
   1330000	3.436754e-13	1.644933314968850
   1340000	3.385650e-13	1.644933320579889
   1350000	3.335678e-13	1.644933326107801
   1360000	3.286805e-13	1.644933331554419
   1370000	3.238997e-13	1.644933336921533
   1380000	3.192225e-13	1.644933342210849
   1390000	3.146459e-13	1.644933347424065
   1400000	3.101670e-13	1.644933352562809
   1410000	3.057831e-13	1.644933357628662
   1420000	3.014915e-13	1.644933362623170
   1430000	2.972895e-13	1.644933367547815
   1440000	2.931748e-13	1.644933372404062
   1450000	2.891450e-13	1.644933377193330
   1460000	2.851977e-13	1.644933381916995
   1470000	2.813306e-13	1.644933386576389
   1480000	2.775417e-13	1.644933391172818
   1490000	2.738288e-13	1.644933395707559
   1500000	2.701899e-13	1.644933400181828
   1510000	2.666231e-13	1.644933404596831
   1520000	2.631264e-13	1.644933408953749
   1530000	2.596981e-13	1.644933413253709
   1540000	2.563364e-13	1.644933417497828
   1550000	2.530395e-13	1.644933421687194
   1560000	2.498058e-13	1.644933425822839
   1570000	2.466337e-13	1.644933429905794
   1580000	2.435216e-13	1.644933433937074
   1590000	2.404681e-13	1.644933437917655
   1600000	2.374716e-13	1.644933441848464
   1610000	2.345308e-13	1.644933445730456
   1620000	2.316443e-13	1.644933449564505
   1630000	2.288108e-13	1.644933453351521
   1640000	2.260289e-13	1.644933457092365
   1650000	2.232975e-13	1.644933460787846
   1660000	2.206152e-13	1.644933464438815
   1670000	2.179810e-13	1.644933468046051
   1680000	2.153938e-13	1.644933471610353
   1690000	2.128523e-13	1.644933475132464
   1700000	2.103555e-13	1.644933478613150
   1710000	2.079024e-13	1.644933482053114
   1720000	2.054919e-13	1.644933485453089
   1730000	2.031232e-13	1.644933488813752
   1740000	2.007951e-13	1.644933492135800
   1750000	1.985069e-13	1.644933495419868
   1760000	1.962575e-13	1.644933498666607
   1770000	1.940462e-13	1.644933501876687
   1780000	1.918720e-13	1.644933505050679
   1790000	1.897342e-13	1.644933508189213
   1800000	1.876319e-13	1.644933511292861
   1810000	1.855643e-13	1.644933514362234
   1820000	1.835308e-13	1.644933517397874
   1830000	1.815304e-13	1.644933520400327
   1840000	1.795626e-13	1.644933523370152
   1850000	1.776267e-13	1.644933526307869
   1860000	1.757218e-13	1.644933529214002
   1870000	1.738475e-13	1.644933532089047
   1880000	1.720030e-13	1.644933534933513
   1890000	1.701876e-13	1.644933537747877
   1900000	1.684009e-13	1.644933540532629
   1910000	1.666422e-13	1.644933543288211
   1920000	1.649108e-13	1.644933546015074
   1930000	1.632063e-13	1.644933548713682
   1940000	1.615281e-13	1.644933551384491
   1950000	1.598757e-13	1.644933554027894
   1960000	1.582485e-13	1.644933556644320
   1970000	1.566460e-13	1.644933559234197
   1980000	1.550677e-13	1.644933561797890
   1990000	1.535131e-13	1.644933564335831
   2000000	1.519818e-13	1.644933566848388
   2010000	1.504733e-13	1.644933569335955
   2020000	1.489872e-13	1.644933571798887
   2030000	1.475229e-13	1.644933574237547
   2040000	1.460802e-13	1.644933576652305
   2050000	1.446585e-13	1.644933579043515
   2060000	1.432574e-13	1.644933581411492
   2070000	1.418767e-13	1.644933583756589
   2080000	1.405157e-13	1.644933586079145
   2090000	1.391743e-13	1.644933588379474
   2100000	1.378520e-13	1.644933590657902
   2110000	1.365484e-13	1.644933592914744
   2120000	1.352633e-13	1.644933595150257
   2130000	1.339962e-13	1.644933597364815
   2140000	1.327468e-13	1.644933599558668
   2150000	1.315148e-13	1.644933601732097
   2160000	1.302999e-13	1.644933603885412
   2170000	1.291018e-13	1.644933606018891
   2180000	1.279201e-13	1.644933608132783
   2190000	1.267545e-13	1.644933610227358
   2200000	1.256048e-13	1.644933612302939
   2210000	1.244707e-13	1.644933614359674
   2220000	1.233519e-13	1.644933616397914
   2230000	1.222480e-13	1.644933618417884
   2240000	1.211590e-13	1.644933620419813
   2250000	1.200844e-13	1.644933622403934
   2260000	1.190241e-13	1.644933624370488
   2270000	1.179777e-13	1.644933626319719
   2280000	1.169451e-13	1.644933628251878
   2290000	1.159259e-13	1.644933630167135
   2300000	1.149201e-13	1.644933632065759
   2310000	1.139273e-13	1.644933633947917
   2320000	1.129472e-13	1.644933635813877
   2330000	1.119798e-13	1.644933637663828
   2340000	1.110248e-13	1.644933639497956
   2350000	1.100819e-13	1.644933641316470
   2360000	1.091510e-13	1.644933643119556
   2370000	1.082318e-13	1.644933644907422
   2380000	1.073242e-13	1.644933646680276
   2390000	1.064280e-13	1.644933648438331
   2400000	1.055429e-13	1.644933650181677
   2410000	1.046689e-13	1.644933651910608
   2420000	1.038056e-13	1.644933653625199
   2430000	1.029530e-13	1.644933655325722
   2440000	1.021109e-13	1.644933657012308
   2450000	1.012790e-13	1.644933658685086
   2460000	1.004573e-13	1.644933660344278
   2470000	9.964550e-14	1.644933661990042
   2480000	9.884353e-14	1.644933663622539
   2490000	9.805120e-14	1.644933665241935
   2500000	9.726836e-14	1.644933666848367
   2510000	9.649486e-14	1.644933668441962
   2520000	9.573054e-14	1.644933670022941
   2530000	9.497528e-14	1.644933671591447
   2540000	9.422891e-14	1.644933673147543
   2550000	9.349131e-14	1.644933674691500
   2560000	9.276234e-14	1.644933676223336
   2570000	9.204185e-14	1.644933677743273
   2580000	9.132973e-14	1.644933679251464
   2590000	9.062585e-14	1.644933680747969
   2600000	8.993007e-14	1.644933682232951
   2610000	8.924227e-14	1.644933683706565
   2620000	8.856233e-14	1.644933685168936
   2630000	8.789013e-14	1.644933686620189
   2640000	8.722556e-14	1.644933688060451
   2650000	8.656849e-14	1.644933689489853
   2660000	8.591883e-14	1.644933690908529
   2670000	8.527644e-14	1.644933692316501
   2680000	8.464124e-14	1.644933693713991
   2690000	8.401311e-14	1.644933695101141
   2700000	8.339194e-14	1.644933696477960
   2710000	8.277764e-14	1.644933697844640
   2720000	8.217010e-14	1.644933699201276
   2730000	8.156922e-14	1.644933700547968
   2740000	8.097491e-14	1.644933701884815
   2750000	8.038707e-14	1.644933703212010
   2760000	7.980561e-14	1.644933704529484
   2770000	7.923044e-14	1.644933705837483
   2780000	7.866146e-14	1.644933707136100
   2790000	7.809859e-14	1.644933708425423
   2800000	7.754174e-14	1.644933709705505
   2810000	7.699082e-14	1.644933710976458
   2820000	7.644576e-14	1.644933712238407
   2830000	7.590646e-14	1.644933713491447
   2840000	7.537285e-14	1.644933714735670
   2850000	7.484484e-14	1.644933715971173
   2860000	7.432237e-14	1.644933717198004
   2870000	7.380534e-14	1.644933718416266
   2880000	7.329370e-14	1.644933719626082
   2890000	7.278735e-14	1.644933720827556
   2900000	7.228623e-14	1.644933722020790
   2910000	7.179028e-14	1.644933723205699
   2920000	7.129940e-14	1.644933724382559
   2930000	7.081355e-14	1.644933725551423
   2940000	7.033264e-14	1.644933726712246
   2950000	6.985662e-14	1.644933727865326
   2960000	6.938541e-14	1.644933729010461
   2970000	6.891896e-14	1.644933730148024
   2980000	6.845719e-14	1.644933731277834
   2990000	6.800005e-14	1.644933732400156
   3000000	6.754747e-14	1.644933733515016
   3010000	6.709939e-14	1.644933734622384
   3020000	6.665576e-14	1.644933735722481
   3030000	6.621652e-14	1.644933736815363
   3040000	6.578160e-14	1.644933737900960
   3050000	6.535095e-14	1.644933738979446
   3060000	6.492452e-14	1.644933740050907
   3070000	6.450225e-14	1.644933741115401
   3080000	6.408408e-14	1.644933742172990
   3090000	6.366997e-14	1.644933743223733
   3100000	6.325986e-14	1.644933744267693
   3110000	6.285369e-14	1.644933745304932
   3120000	6.245143e-14	1.644933746335514
   3130000	6.205302e-14	1.644933747359504
   3140000	6.165841e-14	1.644933748376969
   3150000	6.126755e-14	1.644933749387974
   3160000	6.088039e-14	1.644933750392589
   3170000	6.049689e-14	1.644933751390883
   3180000	6.011701e-14	1.644933752382925
   3190000	5.974069e-14	1.644933753368735
   3200000	5.936789e-14	1.644933754348298
   3210000	5.899858e-14	1.644933755321804
   3220000	5.863269e-14	1.644933756289328
   3230000	5.827020e-14	1.644933757250802
   3240000	5.791107e-14	1.644933758206305
   3250000	5.755524e-14	1.644933759156032
   3260000	5.720268e-14	1.644933760099836
   3270000	5.685335e-14	1.644933761037894
   3280000	5.650721e-14	1.644933761970294
   3290000	5.616423e-14	1.644933762896911
   3300000	5.582435e-14	1.644933763818061
   3310000	5.548756e-14	1.644933764733473
   3320000	5.515380e-14	1.644933765643533
   3330000	5.482304e-14	1.644933766547982
   3340000	5.449525e-14	1.644933767447115
   3350000	5.417039e-14	1.644933768340852
   3360000	5.384843e-14	1.644933769229228
   3370000	5.352933e-14	1.644933770112462
   3380000	5.321305e-14	1.644933770990304
   3390000	5.289958e-14	1.644933771863026
   3400000	5.258886e-14	1.644933772730707
   3410000	5.228087e-14	1.644933773593183
   3420000	5.197558e-14	1.644933774450609
   3430000	5.167296e-14	1.644933775303099
   3440000	5.137297e-14	1.644933776150683
   3450000	5.107559e-14	1.644933776993266
   3460000	5.078078e-14	1.644933777830944
   3470000	5.048852e-14	1.644933778663828
   3480000	5.019877e-14	1.644933779491951
   3490000	4.991151e-14	1.644933780315346
   3500000	4.962671e-14	1.644933781134047
   3510000	4.934434e-14	1.644933781948087
   3520000	4.906437e-14	1.644933782757475
   3530000	4.878678e-14	1.644933783562238
   3540000	4.851154e-14	1.644933784362465
   3550000	4.823862e-14	1.644933785158191
   3560000	4.796800e-14	1.644933785949453
   3570000	4.769964e-14	1.644933786736290
   3580000	4.743354e-14	1.644933787518738
   3590000	4.716965e-14	1.644933788296836
   3600000	4.690796e-14	1.644933789070624
   3610000	4.664845e-14	1.644933789840051
   3620000	4.639108e-14	1.644933790605226
   3630000	4.613583e-14	1.644933791366191
   3640000	4.588268e-14	1.644933792122987
   3650000	4.563162e-14	1.644933792875654
   3660000	4.538260e-14	1.644933793624235
   3670000	4.513562e-14	1.644933794368773
   3680000	4.489065e-14	1.644933795109244
   3690000	4.464767e-14	1.644933795845580
   3700000	4.440666e-14	1.644933796577982
   3710000	4.416760e-14	1.644933797306497
   3720000	4.393045e-14	1.644933798031171
   3730000	4.369522e-14	1.644933798751793
   3740000	4.346187e-14	1.644933799468571
   3750000	4.323038e-14	1.644933800181625
   3760000	4.300074e-14	1.644933800890932
   3770000	4.277292e-14	1.644933801596270
   3780000	4.254691e-14	1.644933802298007
   3790000	4.232268e-14	1.644933802996151
   3800000	4.210022e-14	1.644933803690360
   3810000	4.187951e-14	1.644933804381096
   3820000	4.166054e-14	1.644933805068236
   3830000	4.144327e-14	1.644933805751639
   3840000	4.122770e-14	1.644933806431700
   3850000	4.101381e-14	1.644933807108002
   3860000	4.080158e-14	1.644933807780933
   3870000	4.059099e-14	1.644933808450372
   3880000	4.038203e-14	1.644933809116299
   3890000	4.017467e-14	1.644933809778937
   3900000	3.996891e-14	1.644933810437989
   3910000	3.976473e-14	1.644933811093892
   3920000	3.956211e-14	1.644933811746202
   3930000	3.936103e-14	1.644933812395436
   3940000	3.916148e-14	1.644933813041140
   3950000	3.896345e-14	1.644933813683774
   3960000	3.876691e-14	1.644933814323010
   3970000	3.857186e-14	1.644933814959116
   3980000	3.837827e-14	1.644933815592028
   3990000	3.818614e-14	1.644933816221677
   4000000	3.799545e-14	1.644933816848411
   4010000	3.780618e-14	1.644933817471678
   4020000	3.761833e-14	1.644933818092094
   4030000	3.743187e-14	1.644933818709345
   4040000	3.724679e-14	1.644933819323482
   4050000	3.706308e-14	1.644933819934802
   4060000	3.688073e-14	1.644933820542849
   4070000	3.669972e-14	1.644933821147995
   4080000	3.652004e-14	1.644933821750361
   4090000	3.634168e-14	1.644933822349491
   4100000	3.616462e-14	1.644933822945793
   4110000	3.598885e-14	1.644933823539353
   4120000	3.581436e-14	1.644933824129865
   4130000	3.564113e-14	1.644933824717474
   4140000	3.546916e-14	1.644933825302380
   4150000	3.529843e-14	1.644933825884583
   4160000	3.512893e-14	1.644933826463657
   4170000	3.496065e-14	1.644933827040068
   4180000	3.479357e-14	1.644933827613825
   4190000	3.462769e-14	1.644933828184939
   4200000	3.446299e-14	1.644933828753066
   4210000	3.429947e-14	1.644933829318535
   4220000	3.413710e-14	1.644933829881404
   4230000	3.397589e-14	1.644933830441683
   4240000	3.381581e-14	1.644933830999384
   4250000	3.365687e-14	1.644933831554204
   4260000	3.349904e-14	1.644933832106457
   4270000	3.334232e-14	1.644933832656177
   4280000	3.318670e-14	1.644933833203375
   4290000	3.303216e-14	1.644933833748064
   4300000	3.287870e-14	1.644933834290254
   4310000	3.272631e-14	1.644933834829841
   4320000	3.257497e-14	1.644933835366831
   4330000	3.242469e-14	1.644933835901370
   4340000	3.227544e-14	1.644933836433473
   4350000	3.212721e-14	1.644933836963151
   4360000	3.198001e-14	1.644933837490418
   4370000	3.183382e-14	1.644933838015286
   4380000	3.168862e-14	1.644933838537767
   4390000	3.154442e-14	1.644933839057877
   4400000	3.140120e-14	1.644933839575627
   4410000	3.125895e-14	1.644933840091030
   4420000	3.111767e-14	1.644933840604102
   4430000	3.097734e-14	1.644933841114820
   4440000	3.083796e-14	1.644933841623197
   4450000	3.069952e-14	1.644933842129297
   4460000	3.056201e-14	1.644933842633135
   4470000	3.042542e-14	1.644933843134726
   4480000	3.028974e-14	1.644933843634082
   4490000	3.015497e-14	1.644933844131221
   4500000	3.002110e-14	1.644933844626155
   4510000	2.988811e-14	1.644933845118902
   4520000	2.975601e-14	1.644933845609475
   4530000	2.962478e-14	1.644933846097890
   4540000	2.949442e-14	1.644933846584164
   4550000	2.936492e-14	1.644933847068221
   4560000	2.923626e-14	1.644933847550148
   4570000	2.910846e-14	1.644933848029966
   4580000	2.898148e-14	1.644933848507689
   4590000	2.885534e-14	1.644933848983334
   4600000	2.873002e-14	1.644933849456919
   4610000	2.860551e-14	1.644933849928459
   4620000	2.848181e-14	1.644933850397973
   4630000	2.835891e-14	1.644933850865476
   4640000	2.823681e-14	1.644933851330987
   4650000	2.811549e-14	1.644933851794522
   4660000	2.799495e-14	1.644933852256101
   4670000	2.787519e-14	1.644933852715733
   4680000	2.775619e-14	1.644933853173152
   4690000	2.763795e-14	1.644933853628650
   4700000	2.752047e-14	1.644933854082246
   4710000	2.740373e-14	1.644933854533957
   4720000	2.728774e-14	1.644933854983804
   4730000	2.717248e-14	1.644933855431805
   4740000	2.705795e-14	1.644933855877980
   4750000	2.694414e-14	1.644933856322069
   4760000	2.683105e-14	1.644933856764216
   4770000	2.671867e-14	1.644933857204577
   4780000	2.660699e-14	1.644933857643171
   4790000	2.649601e-14	1.644933858080019
   4800000	2.638573e-14	1.644933858515141
   4810000	2.627613e-14	1.644933858948128
   4820000	2.616721e-14	1.644933859379325
   4830000	2.605897e-14	1.644933859808838
   4840000	2.595140e-14	1.644933860236689
   4850000	2.584450e-14	1.644933860662900
   4860000	2.573825e-14	1.644933861087005
   4870000	2.563266e-14	1.644933861509378
   4880000	2.552771e-14	1.644933861930154
   4890000	2.542341e-14	1.644933862349356
