x	Residual	Taylor			exp(x)			Iterations
1	1.561921e-16	2.718281828459046e+00	2.718281828459045e+00	18
5	1.340678e-14	1.484131591025765e+02	1.484131591025766e+02	33
10	1.817315e-12	2.202646579480671e+04	2.202646579480672e+04	46
15	2.688179e-10	3.269017372472112e+06	3.269017372472111e+06	57
20	4.046325e-08	4.851651954097902e+08	4.851651954097903e+08	67
-1	8.220635e-18	3.678794411714423e-01	3.678794411714423e-01	19
-5	6.955682e-19	6.737946999085470e-03	6.737946999085467e-03	38
-10	4.254303e-21	4.539992976248486e-05	4.539992976248485e-05	58
-15	2.495232e-23	3.059023205018257e-07	3.059023205018258e-07	77
-20	3.834866e-25	2.061153622438558e-09	2.061153622438558e-09	95
